iter	Accuracy	Logloss
0	0.745	0.6593641926
1	0.7483333333	0.6267151159
2	0.7608333333	0.5900341563
3	0.7616666667	0.5725262374
4	0.7616666667	0.5542489388
5	0.7566666667	0.5341237795
6	0.765	0.5186775299
7	0.7725	0.5090557735
8	0.7733333333	0.4991441115
9	0.7725	0.4934590287
10	0.77	0.4852491044
11	0.7716666667	0.4830450467
12	0.7733333333	0.4777956905
13	0.7766666667	0.4739071986
14	0.7775	0.4676940732
15	0.7783333333	0.4640149712
16	0.7825	0.4624444632
17	0.7858333333	0.459844291
18	0.7833333333	0.4544210764
19	0.785	0.4499096342
20	0.7841666667	0.444814867
21	0.7858333333	0.4440441052
22	0.79	0.4405751722
23	0.7891666667	0.4385745649
24	0.7908333333	0.4348000039
25	0.7941666667	0.4325191625
26	0.7991666667	0.4298633049
27	0.8	0.4264180671
28	0.7991666667	0.4262968542
29	0.8	0.4250299529
30	0.8033333333	0.4220470329
31	0.8058333333	0.4216952292
32	0.8075	0.4200403526
33	0.81	0.4183091244
34	0.8091666667	0.4164925838
35	0.8108333333	0.4133225359
36	0.8125	0.4122607025
37	0.8108333333	0.4109661607
38	0.8125	0.407150436
39	0.8125	0.4055520679
40	0.8141666667	0.4050909092
41	0.8133333333	0.4050672006
42	0.8166666667	0.4044925135
43	0.8175	0.4027082833
44	0.82	0.4008800673
45	0.82	0.4003894237
46	0.8208333333	0.3967380053
47	0.825	0.3944515674
48	0.8241666667	0.3943913607
49	0.8241666667	0.3928831593
50	0.8283333333	0.3915477683
51	0.8308333333	0.3889792323
52	0.8291666667	0.3865132783
53	0.8291666667	0.3834077193
54	0.8341666667	0.3810312868
55	0.8341666667	0.3808291261
56	0.8333333333	0.3791972491
57	0.8333333333	0.3773081996
58	0.8358333333	0.3755120925
59	0.8391666667	0.3743991785
60	0.84	0.3737640728
61	0.8408333333	0.3726225689
62	0.8433333333	0.3703916001
63	0.84	0.3681251774
64	0.8408333333	0.3657558042
65	0.8425	0.3636263835
66	0.8425	0.3627454374
67	0.845	0.3612361183
68	0.8475	0.3602181196
69	0.8525	0.3584804233
70	0.855	0.3564937708
71	0.8575	0.3552355211
72	0.8558333333	0.3533339481
73	0.8591666667	0.351050041
74	0.8608333333	0.3497912329
75	0.8641666667	0.3475259688
76	0.865	0.3474662314
77	0.8666666667	0.3453000709
78	0.8683333333	0.3444043981
79	0.87	0.3437871431
80	0.87	0.3429917509
81	0.8708333333	0.3429481244
82	0.8708333333	0.3429007655
83	0.8708333333	0.3401383163
84	0.8733333333	0.3380846103
85	0.8725	0.3343636656
86	0.8766666667	0.3322630204
87	0.8766666667	0.3312581353
88	0.8791666667	0.3297131732
89	0.8791666667	0.3280970021
90	0.88	0.327068859
91	0.88	0.3268470995
92	0.8783333333	0.3245150587
93	0.8758333333	0.3235006439
94	0.8766666667	0.3233718122
95	0.8775	0.3209991271
96	0.8766666667	0.3197492368
97	0.8808333333	0.3174533667
98	0.8808333333	0.3167131736
99	0.8833333333	0.3159671477
100	0.8875	0.3143164398
101	0.885	0.3130387408
102	0.89	0.3105903488
103	0.8908333333	0.3079441131
104	0.8933333333	0.3066880067
105	0.8933333333	0.3045875456
106	0.8966666667	0.3016383625
107	0.8966666667	0.2995784941
108	0.8975	0.2989801708
109	0.8983333333	0.2974041969
110	0.9	0.2963742034
111	0.9025	0.2949203299
112	0.9033333333	0.2925668127
113	0.9041666667	0.2907826557
114	0.905	0.2901393727
115	0.905	0.2887715978
116	0.905	0.2880898701
117	0.9058333333	0.2871082364
118	0.9058333333	0.2861452707
119	0.9058333333	0.2860778889
120	0.9075	0.2838789942
121	0.9075	0.2833948719
122	0.9075	0.2828192218
123	0.9091666667	0.2821880142
124	0.9133333333	0.2803272679
125	0.915	0.279234875
126	0.9158333333	0.2777564331
127	0.9166666667	0.2769985616
128	0.9158333333	0.2742486484
129	0.9158333333	0.2723225876
130	0.9158333333	0.2722566598
131	0.9183333333	0.2708978004
132	0.92	0.2692088876
133	0.92	0.2688824649
134	0.9191666667	0.2685527156
135	0.9183333333	0.2668328247
136	0.9175	0.2646089586
137	0.9191666667	0.2633737524
138	0.9225	0.2622041782
139	0.9233333333	0.261257117
140	0.925	0.2603249134
141	0.9266666667	0.2595367265
142	0.9258333333	0.2586468861
143	0.9275	0.2553284103
144	0.9266666667	0.2543120928
145	0.9283333333	0.2526458511
146	0.9291666667	0.2508620742
147	0.9283333333	0.2498171898
148	0.9283333333	0.2484389148
149	0.9291666667	0.2467981656
150	0.9316666667	0.2445357686
151	0.9333333333	0.2436395126
152	0.935	0.2421213554
153	0.935	0.2411927335
154	0.9358333333	0.2393381114
155	0.9375	0.2382237797
156	0.9375	0.2362987202
157	0.94	0.2360642812
158	0.94	0.2346712807
159	0.9416666667	0.2336656019
160	0.9441666667	0.2329928321
161	0.9433333333	0.2320343445
162	0.945	0.2316115031
163	0.9433333333	0.2302421854
164	0.945	0.2291746341
165	0.945	0.2282991084
166	0.9466666667	0.2273805432
167	0.9483333333	0.2260558222
168	0.9458333333	0.2255116443
169	0.9475	0.2248230269
170	0.9466666667	0.2240099987
171	0.9458333333	0.2225662104
172	0.9466666667	0.2214998124
173	0.9466666667	0.2208825615
174	0.9475	0.2189291319
175	0.9483333333	0.2180288284
176	0.9508333333	0.2168056031
177	0.9516666667	0.2156487425
178	0.9508333333	0.2148785082
179	0.9508333333	0.2140727847
180	0.9508333333	0.2133225122
181	0.9508333333	0.2129159142
182	0.9533333333	0.2117711033
183	0.9525	0.2108325411
184	0.9516666667	0.2101106678
185	0.9525	0.2096957604
186	0.9516666667	0.2091515207
187	0.9541666667	0.2081159924
188	0.9541666667	0.2076282267
189	0.9533333333	0.2069394106
190	0.9566666667	0.2050411706
191	0.9566666667	0.2040326017
192	0.9566666667	0.2032001355
193	0.9566666667	0.2011588477
194	0.9575	0.2006480905
195	0.9591666667	0.2000614804
196	0.9591666667	0.1994518312
197	0.96	0.1988025342
198	0.9591666667	0.1984147099
199	0.9608333333	0.1978058498
200	0.9608333333	0.1972299062
201	0.9608333333	0.1969988887
202	0.9608333333	0.1960556039
203	0.96	0.194612314
204	0.96	0.1935034869
205	0.96	0.1925074113
206	0.9608333333	0.1913176587
207	0.96	0.1905995848
208	0.9616666667	0.1893497156
209	0.9658333333	0.1877542915
210	0.9666666667	0.1862748982
211	0.9666666667	0.1856763078
212	0.9691666667	0.1848055443
213	0.9683333333	0.1842479755
214	0.9658333333	0.1840315304
215	0.97	0.1824188087
216	0.97	0.1818045605
217	0.9708333333	0.1808218045
218	0.9708333333	0.1799520792
219	0.9716666667	0.1791614405
220	0.9725	0.1788735636
221	0.975	0.178183901
222	0.9758333333	0.1769708057
223	0.9766666667	0.1768004207
224	0.9775	0.1754689289
225	0.9775	0.1744058359
226	0.9775	0.1741360276
227	0.9775	0.1733213985
228	0.9766666667	0.1720749298
229	0.9766666667	0.1715153053
230	0.9766666667	0.1710886841
231	0.9758333333	0.1705460234
232	0.9766666667	0.1698600018
233	0.9766666667	0.1689586351
234	0.9766666667	0.1686446095
235	0.9766666667	0.1682386246
236	0.9775	0.1668552605
237	0.9791666667	0.1662778224
238	0.9775	0.1658738274
239	0.9775	0.1658388232
240	0.9775	0.1649591584
241	0.9783333333	0.164590873
242	0.9791666667	0.1641690412
243	0.9791666667	0.1635733619
244	0.9791666667	0.1630474322
245	0.9791666667	0.1624131369
246	0.9791666667	0.1614165232
247	0.98	0.1609022361
248	0.9808333333	0.1600348414
249	0.9816666667	0.1587466358
250	0.9816666667	0.1578589476
251	0.9825	0.1576830273
252	0.9825	0.1569786553
253	0.9825	0.1563858996
254	0.9825	0.1558167479
255	0.9825	0.1547179547
256	0.9833333333	0.154055837
257	0.9833333333	0.1534651035
258	0.985	0.1526181929
259	0.9858333333	0.1517865676
260	0.9858333333	0.1517131663
261	0.9858333333	0.151025685
262	0.9858333333	0.1505486477
263	0.9858333333	0.149903474
264	0.9858333333	0.1494574676
265	0.9858333333	0.148878202
266	0.9858333333	0.1484256372
267	0.9858333333	0.1480893507
268	0.9858333333	0.147174091
269	0.9858333333	0.1464599391
270	0.9858333333	0.1458210867
271	0.9858333333	0.145104092
272	0.9858333333	0.1445452252
273	0.9866666667	0.1437891533
274	0.9858333333	0.143056014
275	0.9866666667	0.1427112298
276	0.9875	0.1417898294
277	0.9875	0.1411372606
278	0.9883333333	0.1403080043
279	0.9883333333	0.1398651211
280	0.9883333333	0.138917593
281	0.9883333333	0.1386133177
282	0.9883333333	0.1380715102
283	0.9891666667	0.1372526189
284	0.9891666667	0.1365567688
285	0.9891666667	0.1353540114
286	0.9908333333	0.1342980408
287	0.9908333333	0.1330465835
288	0.99	0.1326158754
289	0.9908333333	0.131672682
290	0.9908333333	0.1313137619
291	0.9908333333	0.1310547876
292	0.9908333333	0.1299479002
293	0.9908333333	0.129256192
294	0.9908333333	0.1290649488
295	0.9916666667	0.1281617364
296	0.9925	0.1273150798
297	0.9925	0.1272192709
298	0.9933333333	0.1265306961
299	0.9933333333	0.1259450475
300	0.9925	0.1246784345
301	0.9925	0.1243284665
302	0.9933333333	0.1234152062
303	0.9941666667	0.1230784719
304	0.9941666667	0.1224395112
305	0.995	0.1219566875
306	0.995	0.1217012669
307	0.9941666667	0.1213900473
308	0.9941666667	0.1209171831
309	0.9933333333	0.120457746
310	0.9933333333	0.1201163268
311	0.9933333333	0.1194823032
312	0.9941666667	0.1191243165
313	0.9941666667	0.1187536905
314	0.9958333333	0.1179540062
315	0.9958333333	0.1176016522
316	0.9958333333	0.1173183927
317	0.9966666667	0.1167538554
318	0.9966666667	0.1161147185
319	0.9966666667	0.1155945291
320	0.9966666667	0.1148897705
321	0.9966666667	0.1146999043
322	0.9966666667	0.1143528581
323	0.9958333333	0.1135652983
324	0.9975	0.1130149614
325	0.9975	0.1123674309
326	0.9975	0.1120072672
327	0.9975	0.1114889797
328	0.9975	0.1107642281
329	0.9975	0.1104853883
330	0.9975	0.110376036
331	0.9975	0.110113405
332	0.9975	0.1096821727
333	0.9975	0.1091217543
334	0.9975	0.1088491899
335	0.9983333333	0.108506508
336	0.9983333333	0.1083579668
337	0.9983333333	0.1081782265
338	0.9983333333	0.1078894944
339	0.9983333333	0.1076273484
340	0.9983333333	0.1071493241
341	0.9983333333	0.1069260737
342	0.9983333333	0.1064595265
343	0.9983333333	0.1059799066
344	0.9983333333	0.1056345689
345	0.9983333333	0.1053926136
346	0.9983333333	0.104996082
347	0.9983333333	0.1048196863
348	0.9983333333	0.1043968887
349	0.9983333333	0.1039260918
350	0.9983333333	0.1031179117
351	0.9983333333	0.1028371157
352	0.9983333333	0.1024548178
353	0.9983333333	0.1021615656
354	0.9983333333	0.1018337989
355	0.9983333333	0.1013315803
356	0.9983333333	0.1012947506
357	0.9983333333	0.1009826192
358	0.9983333333	0.1009244674
359	0.9983333333	0.1005170621
360	0.9983333333	0.1001467182
361	0.9991666667	0.09975030472
362	0.9991666667	0.09929617535
363	0.9991666667	0.09916544898
364	0.9991666667	0.09887567085
365	0.9991666667	0.09856784361
366	0.9991666667	0.09817894363
367	0.9991666667	0.09779418234
368	0.9991666667	0.09723779292
369	0.9991666667	0.09689192334
370	0.9991666667	0.09648808566
371	0.9991666667	0.09620939983
372	0.9991666667	0.09575700151
373	0.9991666667	0.095310285
374	0.9991666667	0.09530119041
375	0.9991666667	0.09473206721
376	0.9991666667	0.0945298817
377	0.9991666667	0.09413573951
378	0.9991666667	0.09412635486
379	1	0.09396969671
380	1	0.09336842261
381	1	0.09335122963
382	1	0.09290066408
383	1	0.0923418532
384	1	0.09202649785
385	1	0.09164652162
386	1	0.09151395678
387	1	0.09126087116
388	1	0.0911541267
389	1	0.09095806393
390	1	0.09065690478
391	1	0.09020634534
392	1	0.08930166944
393	1	0.08900153689
394	1	0.08853926343
395	1	0.0880372902
396	1	0.0878072454
397	1	0.08764769634
398	1	0.08711927774
399	1	0.08693985224
400	1	0.08674844395
401	1	0.08632637224
402	1	0.08627962766
403	1	0.08605725394
404	1	0.08582099236
405	1	0.08549893369
406	1	0.08520643297
407	1	0.08486462297
408	1	0.08471371989
409	1	0.08440443529
410	1	0.08402472792
411	1	0.08357089704
412	1	0.08331428465
413	1	0.0831468669
414	1	0.08266408532
415	1	0.08207918305
416	1	0.08191570026
417	1	0.08177573197
418	1	0.08141978503
419	1	0.08136855896
420	1	0.08112507797
421	1	0.08096612033
422	1	0.08057030941
423	1	0.08018155557
424	1	0.08001669869
425	1	0.07964432834
426	1	0.07937001181
427	1	0.07921347299
428	1	0.07887404185
429	1	0.0785897251
430	1	0.07815753629
431	1	0.07808268257
432	1	0.07783561342
433	1	0.07760721283
434	1	0.07748051972
435	1	0.07715861573
436	1	0.0766522089
437	1	0.07634701292
438	1	0.07627872095
439	1	0.07603901673
440	1	0.07581436112
441	1	0.07565542209
442	1	0.07554458566
443	1	0.07510117318
444	1	0.07498791096
445	1	0.07461158851
446	1	0.07436558052
447	1	0.07427611317
448	1	0.07406122613
449	1	0.0737843294
450	1	0.07356167519
451	1	0.07318151292
452	1	0.0731300315
453	1	0.07312174957
454	1	0.07299150591
455	1	0.07273931002
456	1	0.07250059212
457	1	0.07220821338
458	1	0.07199899445
459	1	0.07186014164
460	1	0.07164829417
461	1	0.07163515132
462	1	0.07162798393
463	1	0.0715033952
464	1	0.07138879204
465	1	0.07109851465
466	1	0.07095122473
467	1	0.07087371279
468	1	0.07074041022
469	1	0.07056503556
470	1	0.07048138017
471	1	0.07035428152
472	1	0.07022343427
473	1	0.07002469752
474	1	0.06990339014
475	1	0.06969087155
476	1	0.06957081908
477	1	0.06937199372
478	1	0.06909936086
479	1	0.06876097668
480	1	0.06848008296
481	1	0.06844234809
482	1	0.06828958676
483	1	0.06823743776
484	1	0.06805961828
485	1	0.06779935794
486	1	0.0674289651
487	1	0.06733739501
488	1	0.06713714478
489	1	0.06701537528
490	1	0.06685242253
491	1	0.06653619194
492	1	0.06633695703
493	1	0.06630181068
494	1	0.06617260121
495	1	0.06586356317
496	1	0.06566507534
497	1	0.06560539318
498	1	0.0655236439
499	1	0.06534122184
